property_type,society,sector,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,area,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,godrej 1014.0 ?,sector 79,2 Crore,8453.0,Carpet area: 2366 (219.81 sq.m.),3.0,4.0,,2.0,North-East,Relatively New,,,,,0,1,0,0,0,1,156
flat,signature global grand iva3.9 ?,sector 103,30 Lac,8290.0,Carpet area: 361.88 (33.62 sq.m.),1.0,2.0,2.0,5.0,,New Property,,,,,0,0,0,0,0,0,37
flat,umang monsoon breeze,sector 78,1.2 Crore,6493.0,Super Built up area 2250(209.03 sq.m.)Carpet area: 1848 sq.ft. (171.68 sq.m.),3.0,3.0,2.0,8.0,,Moderately Old,,,,,0,0,0,1,0,2,8
flat,m3m soulitude,sector 89,1.42 Crore,9978.0,Carpet area: 1423 (132.2 sq.m.),3.0,3.0,2.0,3.0,,New Property,,,,,0,0,0,0,0,0,15
flat,corona optus3.9 ?,sector 37c,1.2 Crore,6916.0,Super Built up area 1735(161.19 sq.m.)Built Up area: 1635 sq.ft. (151.9 sq.m.)Carpet area: 1535 sq.ft. (142.61 sq.m.),3.0,4.0,3.0,8.0,South-West,Relatively New,,,,,0,0,0,0,0,0,149
house,independent,sector 25,11.0,35530.0,Plot area 344(287.63 sq.m.),5 Bedrooms,5.0,3+,2.0,,Relatively New,3096.0,,3096.0,,1,1,1,1,0,0,29
flat,smart world gems,sector 89,90 Lac,8159.0,Super Built up area 1103(102.47 sq.m.),2.0,2.0,2.0,2.0,East,New Property,,,,,1,0,0,0,1,0,44
house,independent,sector 39,1.7,17980.0,Plot area 900(83.61 sq.m.),2 Bedrooms,2.0,3+,3.0,,Moderately Old,945.0,,900.0,,0,1,1,0,0,0,45
flat,ats kocoon,sector 109,2.22 Crore,10596.0,Super Built up area 2095(194.63 sq.m.),3.0,3.0,3.0,20.0,East,Relatively New,,,,,0,1,0,0,1,0,79
flat,sobha city,sector 108,3.75 Crore,14938.0,Super Built up area 2343(217.67 sq.m.),3.0,3.0,2.0,16.0,North-East,New Property,,,,,0,1,0,0,0,0,77
flat,ashiana mulberry,sohna road,95 Lac,6485.0,Super Built up area 1465(136.1 sq.m.)Built Up area: 1175.97 sq.ft. (109.25 sq.m.)Carpet area: 834.96 sq.ft. (77.57 sq.m.),2.0,2.0,,3.0,,New Property,,,,,1,0,0,0,0,0,89
house,independent,sector 8,1.6,28674.0,Plot area 62(51.84 sq.m.),4 Bedrooms,6.0,1,3.0,,Relatively New,558.0,,558.0,,0,0,0,0,0,0,0
flat,signature global park4.0 ?,sohna road,54 Lac,6506.0,Carpet area: 830 (77.11 sq.m.),2.0,2.0,1.0,2.0,,Relatively New,,,,,0,0,0,0,0,0,16
flat,indiabulls enigma,sector 110,3.4 Crore,10000.0,Super Built up area 3400(315.87 sq.m.),4.0,5.0,3.0,3.0,East,Relatively New,,,,,0,1,1,0,0,0,90
flat,ramprastha the edge towers3.5 ?,sector 37d,1 Crore,5649.0,Super Built up area 1770(164.44 sq.m.),3.0,3.0,,13.0,,Moderately Old,,,,,0,0,0,0,0,0,38
flat,emaar the palm drive,sector 66,3.9 Crore,18636.0,Built Up area: 2200 (204.39 sq.m.),3.0,4.0,3.0,2.0,,Relatively New,,,,,0,0,0,0,0,0,0
flat,godrej summit3.7 ?,sector 104,98 Lac,5950.0,Super Built up area 1647(153.01 sq.m.),3.0,3.0,3.0,12.0,East,Relatively New,,,,,0,0,0,0,1,0,79
flat,cancon enclave,sector 4,1.05 Crore,7777.0,Carpet area: 1350 (125.42 sq.m.),3.0,2.0,2.0,2.0,,New Property,,,,,0,0,0,0,0,1,0
flat,chd avenue 713.6 ?,sector 71,1.1 Crore,6790.0,Super Built up area 1620(150.5 sq.m.),3.0,3.0,3.0,11.0,,Relatively New,,,,,0,0,0,0,1,0,72
